"priority","title","slug","published_at","category","finding_count","finding_labels","original_url"
"P1","Cómo la inteligencia artificial está redefiniendo la consultoría","como-la-inteligencia-artificial-esta-redefiniendo-la-consultoria","2025-09-24T16:47:03.504Z","Innovación","2","Cifra, tasa, monto o porcentaje | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/c%C3%B3mo-la-inteligencia-artificial-est%C3%A1-redefiniendo-la-consultor%C3%ADa"
"P0","Diagnóstico Patrimonial y Fiscal para PYMES","diagnostico-patrimonial-y-fiscal-para-pymes","2025-08-13T23:19:55.012Z","Empresas","2","Lenguaje de inversión o actividad regulada | Materia fiscal, jurídica, pensionaria o de seguridad social","https://afortu.com.mx/blog/f/diagn%C3%B3stico-patrimonial-y-fiscal-para-pymes"
"P0","Empresa con síntomas de que necesita estructura urgentemente","empresa-con-sintomas-de-que-necesita-estructura-urgentemente","2025-08-12T19:56:57.381Z","Empresas","2","Materia fiscal, jurídica, pensionaria o de seguridad social | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/empresa-con-s%C3%ADntomas-de-que-necesita-estructura-urgentemente"
"P0","El poder de entender tus derechos","el-poder-de-entender-tus-derechos","2025-08-12T19:52:35.268Z","Legado","2","Materia fiscal, jurídica, pensionaria o de seguridad social | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/el-poder-de-entender-tus-derechos"
"P0","Heredar con claridad","heredar-con-claridad","2025-08-12T19:24:33.844Z","Legado","3","Materia fiscal, jurídica, pensionaria o de seguridad social | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/heredar-con-claridad"
"P0","Planificación del retiro","planificacion-del-retiro","2025-07-16T15:50:29.495Z","Retiro","4","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/planificaci%C3%B3n-del-retiro"
"P0","La gestión patrimonial","la-gestion-patrimonial","2025-07-16T15:47:41.391Z","Patrimonio","3","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/la-gesti%C3%B3n-patrimonial"
"P0","El Legado Empresarial: Clave para la Trascendencia","el-legado-empresarial-clave-para-la-trascendencia","2025-07-16T15:42:22.486Z","Legado","3","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/el-legado-empresarial-clave-para-la-trascendencia"
"P0","Estrategias Fiscales","estrategias-fiscales","2025-07-16T15:37:54.519Z","Empresas","4","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/estrategias-fiscales"
"P0","Asesoría legal el respaldo que transforma decisiones","asesoria-legal-el-respaldo-que-transforma-decisiones","2025-07-05T23:36:52.413Z","Legado","2","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social","https://afortu.com.mx/blog/f/asesor%C3%ADa-legal-el-respaldo-que-transforma-decisiones"
"P0","Planificación Sucesoria: Protege tu legado con inteligencia","planificacion-sucesoria-protege-tu-legado-con-inteligencia","2025-07-05T22:39:18.487Z","Legado","4","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/planificaci%C3%B3n-sucesoria-protege-tu-legado-con-inteligencia"
"P0","Planificación de la Sucesión Familiar","planificacion-de-la-sucesion-familiar","2025-07-05T21:47:53.937Z","Legado","3","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/planificaci%C3%B3n-de-la-sucesi%C3%B3n-familiar"
"P0","Modalidad 10 del IMSS: Seguridad social","modalidad-10-del-imss-seguridad-social","2025-06-24T18:42:26.028Z","Retiro","4","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Referencia temporal que puede perder vigencia","https://afortu.com.mx/blog/f/modalidad-10-del-imss-seguridad-social"
"P0","Constitución de Sociedades Mercantiles en México","constitucion-de-sociedades-mercantiles-en-mexico","2025-06-19T16:51:55.929Z","Patrimonio","4","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/constituci%C3%B3n-de-sociedades-mercantiles-en-m%C3%A9xico"
"P0","Educación financiera para jóvenes: construyendo un futuro sólido","educacion-financiera-para-jovenes-construyendo-un-futuro-solido","2025-06-18T19:03:50.199Z","Educación financiera","2","Promesa, garantía o certeza | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/educaci%C3%B3n-financiera-para-j%C3%B3venes-construyendo-un-futuro-s%C3%B3lido"
"P0","¿En qué casos puedes retirar dinero de tu AFORE ISSSTE?","en-que-casos-puedes-retirar-dinero-de-tu-afore-issste","2025-06-18T18:58:07.814Z","Retiro","3","Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Referencia temporal que puede perder vigencia","https://afortu.com.mx/blog/f/%C2%BFen-qu%C3%A9-casos-puedes-retirar-dinero-de-tu-afore-issste"
"P0","Servicios","servicios","2025-06-13T17:36:22.982Z","Patrimonio","3","Lenguaje de inversión o actividad regulada | Materia fiscal, jurídica, pensionaria o de seguridad social | Referencia temporal que puede perder vigencia","https://afortu.com.mx/blog/f/servicios"
"P0","Modalidad 40 del IMSS: Potenciando tu Pensión","modalidad-40-del-imss-potenciando-tu-pension","2025-06-05T14:42:10.875Z","Retiro","2","Lenguaje de inversión o actividad regulada | Materia fiscal, jurídica, pensionaria o de seguridad social","https://afortu.com.mx/blog/f/modalidad-40-del-imss-potenciando-tu-pensi%C3%B3n"
"P0","Estrategias de Inversión en Tiempos de Incertidumbre Económica","estrategias-de-inversion-en-tiempos-de-incertidumbre-economica","2025-06-04T17:20:15.408Z","Patrimonio","3","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/estrategias-de-inversi%C3%B3n-en-tiempos-de-incertidumbre-econ%C3%B3mica"
"P0","Regulación y Cumplimiento: Lo que todo Inversionista debe saber","regulacion-y-cumplimiento-lo-que-todo-inversionista-debe-saber","2025-06-04T17:13:44.274Z","Patrimonio","3","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/regulaci%C3%B3n-y-cumplimiento-lo-que-todo-inversionista-debe-saber"
"P0","Errores Comunes en la Gestión de Activos y Cómo Evitarlos","errores-comunes-en-la-gestion-de-activos-y-como-evitarlos","2025-06-04T17:08:43.127Z","Patrimonio","3","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/errores-comunes-en-la-gesti%C3%B3n-de-activos-y-c%C3%B3mo-evitarlos"
"P0","Tendencias en Gestión de Activos: ¿Hacia Dónde Vamos?","tendencias-en-gestion-de-activos-hacia-donde-vamos","2025-06-04T17:03:42.616Z","Patrimonio","3","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza | Referencia temporal que puede perder vigencia","https://afortu.com.mx/blog/f/tendencias-en-gesti%C3%B3n-de-activos-%C2%BFhacia-d%C3%B3nde-vamos"
"P0","Transformación Digital y Fintech","transformacion-digital-y-fintech","2025-05-31T14:08:24.197Z","Innovación","2","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza","https://afortu.com.mx/blog/f/transformaci%C3%B3n-digital-y-fintech"
"P0","Deducciones fiscales que pocos aprovechan","deducciones-fiscales-que-pocos-aprovechan","2025-05-28T18:40:43.176Z","Empresas","2","Lenguaje de inversión o actividad regulada | Materia fiscal, jurídica, pensionaria o de seguridad social","https://afortu.com.mx/blog/f/deducciones-fiscales-que-pocos-aprovechan"
"P2","Educa a Tus Hijos en Finanzas: Preparando a la Próxima Generación","educa-a-tus-hijos-en-finanzas-preparando-a-la-proxima-generacion","2025-05-09T15:34:14.145Z","Educación financiera","0","","https://afortu.com.mx/blog/f/educa-a-tus-hijos-en-finanzas-preparando-a-la-pr%C3%B3xima-generaci%C3%B3n"
"P0","3 Libros Recomendados para Mejorar Tus Finanzas en 2025","3-libros-recomendados-para-mejorar-tus-finanzas-en-2025","2025-05-09T15:33:38.768Z","Educación financiera","3","Promesa, garantía o certeza | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/3-libros-recomendados-para-mejorar-tus-finanzas-en-2025"
"P0","Cómo declarar en 2025 sin dolores de cabeza","como-declarar-en-2025-sin-dolores-de-cabeza","2025-05-09T15:32:48.712Z","Empresas","4","Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/c%C3%B3mo-declarar-en-2025-sin-dolores-de-cabeza"
"P2","Finanzas y Cultura","finanzas-y-cultura","2025-03-08T01:38:55.510Z","Educación financiera","0","","https://afortu.com.mx/blog/f/finanzas-y-cultura"
"P2","10 Libros Esenciales para Transformar tus Finanzas Personales","10-libros-esenciales-para-transformar-tus-finanzas-personales","2025-03-08T01:23:45.843Z","Educación financiera","1","Referencia temporal que puede perder vigencia","https://afortu.com.mx/blog/f/10-libros-esenciales-para-transformar-tus-finanzas-personales"
"P0","Educación Financiera: La Clave para Un Futuro de Éxito","educacion-financiera-la-clave-para-un-futuro-de-exito","2025-03-08T01:09:02.282Z","Educación financiera","3","Promesa, garantía o certeza | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/educaci%C3%B3n-financiera-la-clave-para-un-futuro-de-%C3%A9xito"
"P0","Economía personal y familiar: construyendo una base financiera sólida","economia-personal-y-familiar","2025-03-08T00:53:20.470Z","Educación financiera","2","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza","https://afortu.com.mx/blog/f/econom%C3%ADa-personal-y-familiar"
"P0","Cómo elegir el régimen fiscal adecuado en México","como-elegir-el-regimen-fiscal-adecuado-en-mexico","2025-03-07T14:03:17.712Z","Empresas","4","Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/c%C3%B3mo-elegir-el-r%C3%A9gimen-fiscal-adecuado-en-m%C3%A9xico"
"P0","El Régimen Pensionario en México: Todo lo que Necesitas Saber","el-regimen-pensionario-en-mexico-todo-lo-que-necesitas-saber","2025-03-06T22:05:17.784Z","Retiro","6","Lenguaje de inversión o actividad regulada | Promesa, garantía o certeza | Materia fiscal, jurídica, pensionaria o de seguridad social | Cifra, tasa, monto o porcentaje | Referencia temporal que puede perder vigencia | Lenguaje prescriptivo o de recomendación","https://afortu.com.mx/blog/f/el-r%C3%A9gimen-pensionario-en-m%C3%A9xico-todo-lo-que-necesitas-saber"
